ORIG,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,UP,LOW
1,1,1,1,1,1,1,1,0.0851256530758749,-0.0851256530758749
0.526852850581619,0.997743013783974,0.866002551137576,0.514249485735521,0.327289254004462,0.00038001150003877,-0.503684763000905,-0.885969661827817,0.0851256530758749,-0.0851256530758749
-0.0680875876247778,-0.969406895750582,-0.997198204452449,-0.993352300334515,-0.987737564705918,-0.98848707071397,-0.986468093793555,-0.98203898211417,0.0851256530758749,-0.0851256530758749
-0.131106856032605,0.629000650831216,0.800424524592158,0.572381651239808,0.347269731062052,0.00136540511804614,-0.423612372546547,-0.686891216962448,0.0851256530758749,-0.0851256530758749
-0.094156927051794,0.175357653145959,-0.653210632099208,-0.794006376633206,-0.720786826836843,-0.806020513926035,-0.718306678587649,-0.123234405240314,0.0851256530758749,-0.0851256530758749
-0.0939675225135678,-0.0152096545209533,-0.219651776961002,-0.167430894455799,0.0874418802950726,0.288813184558884,0.395814425218525,0.381910762486026,0.0851256530758749,-0.0851256530758749
-0.0684925389309322,0.000355772590560942,0.0485210540406368,-0.132449664266331,-0.0474552492081457,-0.0118093217382482,-0.0150674463036218,-0.0891846778271029,0.0851256530758749,-0.0851256530758749
-0.0914423330202164,-0.0278703965804709,0.124855022543483,-0.0114901873594093,-0.071174346665891,-0.0401158824134991,0.0711351149409792,-0.0301058093141833,0.0851256530758749,-0.0851256530758749
-0.0322557568319733,0.303509359611929,0.171746885538313,0.116166242188142,-0.0336808902399459,-0.0519917780555183,-0.259579646009185,-0.16238011062251,0.0851256530758749,-0.0851256530758749
0.026867121140427,0.173630514997229,-0.219667256900287,-0.0756646500321599,-0.111213366786152,-0.115330448503505,-0.023429579785604,0.0360142268634665,0.0851256530758749,-0.0851256530758749
0.0859645575008307,0.10460930731385,-0.232275281438283,0.0449422430340456,0.127762840708858,0.0647509817168936,0.245707699037498,0.187717118324764,0.0851256530758749,-0.0851256530758749
0.164650254830837,-0.309561261773381,-0.299995626810764,-0.00894133671956763,0.091816542241105,0.107454478302055,-0.00668940401499662,0.0994669894043563,0.0851256530758749,-0.0851256530758749
0.161383858550288,-0.108989540899437,0.0704730743814198,0.16283379658116,0.158167407637677,0.229356954769482,0.0416585660712587,-0.279085180910543,0.0851256530758749,-0.0851256530758749
-0.110748185335719,-0.185276543715162,-0.130271904309796,-0.216286281985586,-0.297978823852677,-0.325487795989016,-0.274445789486325,-0.172142737848957,0.0851256530758749,-0.0851256530758749
-0.0545503475127736,-0.235361051883756,-0.0547925835649387,-0.0893924708421595,-0.135411248693013,-0.262993005321676,-0.237359870874672,-0.274744199556254,0.0851256530758749,-0.0851256530758749
-0.0696406706282378,0.213741788457268,0.0685086051505448,-0.107356390226729,-0.138678774433527,-0.239218473932425,-0.30346015461517,-0.325763722387228,0.0851256530758749,-0.0851256530758749
-0.0579265478354308,-0.00169297636758233,-0.316986916456803,-0.409903098424096,-0.398274450562826,-0.26685706150025,-0.21068702313218,-0.0726423460989484,0.0851256530758749,-0.0851256530758749
-0.062527180139705,0.00755388033069235,-0.0865101260601643,-0.101330837380665,-0.0813232195483688,0.0554859945356587,0.0183823664780792,0.0556039038570551,0.0851256530758749,-0.0851256530758749
-0.06656282887153,-0.0417241334955956,-0.0353186886105394,-0.117419769446437,-0.0914331021220467,-0.164604726333289,-0.0565950953206626,-0.0474215225125059,0.0851256530758749,-0.0851256530758749
-0.0552789733848881,0.113350214014342,0.0714570192506064,-0.028514991357977,0.0289684786449158,-0.0651237129297652,0.0296827961858026,-0.103117230225272,0.0851256530758749,-0.0851256530758749
-0.0240974271454442,0.11797848105201,-0.078381927537493,-0.1333842850217,-0.103258486319278,-0.0351204655103093,-0.216448765877741,0.0148430441038232,0.0851256530758749,-0.0851256530758749
