1,1,1
-0.58003,0.40115,0.88832
-0.62484,-0.85505,-0.94461
-0.60319,0.21443,0.82746
-0.56015,-0.77417,-0.6051
-0.56222,0.20945,0.22185
-0.46851,-0.63804,0.0035357
-0.37744,0.16626,0.60633
-0.42928,-0.70157,-0.70262
-0.49688,0.18993,0.29227
-0.37339,-0.62972,0.07634
-0.44625,0.23307,0.11238
-0.3929,-0.5513,-0.78378
-0.37851,0.18069,0.61006
-0.35303,-0.55557,0.33179
-0.33637,0.068361,0.036085
-0.3137,-0.56044,-0.49249
-0.29203,0.096112,0.56913
-0.33373,-0.54066,0.14584
-0.28542,0.16621,-0.053622
-0.26848,-0.54865,-0.55116
